cluster_id	q
0	5
1	3
2	5
3	5
4	2
5	2
6	3
7	3
8	5
9	4
10	1
11	1
12	5
13	5
14	5
15	1
16	4
17	5
18	5
19	5
20	5
21	2
22	5
23	5
24	5
26	5
27	4
28	1
29	5
30	5
32	2
33	5
34	2
35	1
36	5
37	5
38	4
39	1
40	5
41	5
42	3
43	5
44	5
45	5
46	5
47	4
48	3
50	5
51	4
52	2
53	2
54	2
55	4
56	5
57	1
58	3
59	3
60	5
61	5
62	5
63	1
64	5
65	4
66	5
67	5
68	4
69	5
70	4
71	4
72	2
73	5
74	5
75	3
76	5
77	4
78	5
79	5
80	5
81	5
82	3
83	5
84	5
85	4
86	5
87	5
88	2
89	4
90	5
91	4
92	3
93	4
94	2
95	5
96	4
97	5
98	3
99	5
101	5
102	2
103	5
105	5
106	5
107	5
108	5
109	5
110	2
111	3
112	5
113	1
114	1
115	5
116	5
117	4
118	5
119	5
120	4
121	4
122	5
123	4
124	3
125	2
126	4
127	4
128	3
129	4
130	4
131	4
132	2
133	5
134	4
135	5
136	5
137	5
138	5
139	4
140	3
141	4
142	5
143	4
144	4
145	3
146	5
154	1
158	2
160	1
161	1
162	4
163	1
164	1
165	1
166	5
167	1
168	1
169	1
170	2
171	1
172	1
173	1
174	3
175	1
176	3
177	1
178	5
179	2
181	2
182	1
183	1
184	1
185	1
186	3
187	4
188	2
189	4
190	2
191	1
192	1
193	2
194	3
195	5
196	5
197	2
198	1
199	1
200	4
201	4
202	2
203	3
204	1
205	1
206	4
207	4
208	3
209	2
210	4
212	2
214	4
215	5
216	5
217	2
218	5
219	3
220	2
221	3
222	3
223	3
224	3
225	4
227	5
228	1
229	5
230	5
231	1
232	3
233	1
234	3
235	3
236	3
237	5
239	4
241	3
242	1
244	2
245	2
246	1
247	1
248	3
249	3
250	3
253	5
267	1
268	2
269	5
271	3
272	5
273	4
275	4
276	3
278	3
280	4
281	3
282	5
283	5
284	5
285	4
286	1
287	3
288	5
289	2
290	2
291	5
292	3
293	4
294	5
295	5
296	1
297	5
298	5
299	5
300	5
301	1
302	4
303	4
304	4
306	5
307	3
308	1
309	3
310	5
311	1
312	1
313	2
314	2
316	2
317	3
319	4
320	4
321	4
322	5
323	2
324	1
325	5
327	5
328	5
329	2
330	1
331	4
332	4
333	5
334	5
335	4
336	4
337	5
338	3
339	1
340	5
341	4
342	5
343	3
344	5
345	4
346	5
347	5
348	4
349	5
350	2
352	2
353	4
354	4
355	5
356	2
357	5
358	3
359	5
361	5
362	4
363	5
364	3
365	5
366	3
367	5
368	5
369	5
370	3
371	4
372	4
373	5
374	4
375	4
376	5
378	3
379	4
380	5
383	4
385	4
386	2
387	4
388	5
389	5
390	5
391	4
393	4
395	4
397	2
398	1
399	1
400	3
401	1
402	1
403	2
405	3
406	5
407	4
408	4
409	2
410	1
411	1
412	1
413	5
414	4
415	5
416	3
417	5
418	3
419	3
420	4
421	2
423	5
424	4
425	4
426	5
427	5
430	4
431	4
432	5
433	4
434	4
435	5
436	4
437	4
438	4
439	4
440	3
441	2
442	5
443	5
444	2
445	5
446	5
447	2
448	5
449	5
450	3
451	3
452	4
453	4
454	4
455	3
456	5
457	5
459	5
460	5
461	5
462	4
463	4
464	4
465	4
466	4
467	4
468	5
469	4
470	5
471	4
472	3
474	1
475	5
476	4
478	4
479	4
481	2
482	1
483	5
484	3
485	5
487	5
488	5
489	4
490	3
491	4
492	4
494	4
495	4
496	4
498	4
499	3
500	4
501	3
502	4
503	5
504	1
505	4
507	4
508	4
509	3
510	5
511	3
512	3
513	4
514	4
515	4
516	4
517	5
518	4
520	4
521	1
522	5
523	2
524	5
525	4
527	5
528	5
529	5
530	5
531	4
532	3
533	5
534	4
535	5
536	3
537	5
538	4
539	5
540	4
541	5
542	5
543	5
544	1
545	1
546	1
547	1
548	1
549	2
550	4
551	1
552	1
553	1
554	1
555	4
556	5
557	2
558	3
559	3
560	1
561	1
563	1
565	5
566	1
567	4
568	5
569	4
570	5
571	5
572	4
573	1
574	3
575	4
576	4
577	4
578	4
579	3
580	1
581	2
582	1
583	2
584	4
585	4
586	1
587	5
588	4
589	3
590	1
591	1
592	5
593	4
594	3
595	2
596	3
597	3
598	5
599	5
600	4
601	4
