cluster_id	q
0	5
1	1
2	1
3	2
4	1
5	1
6	2
7	1
8	4
9	3
10	1
11	1
12	3
13	4
14	2
15	1
16	4
17	3
18	5
19	4
20	4
21	2
22	5
23	3
24	4
26	3
27	2
28	1
29	3
30	4
32	2
33	3
34	2
35	1
36	4
37	3
38	2
39	1
40	5
41	3
42	1
43	3
44	4
45	4
46	3
47	3
48	2
50	3
51	2
52	2
53	2
54	2
55	2
56	4
57	1
58	2
59	2
60	5
61	5
62	3
63	1
64	3
65	3
66	3
67	2
68	3
69	3
70	3
71	2
72	3
73	3
74	3
75	2
76	3
77	3
78	4
79	4
80	5
81	4
82	3
83	4
84	3
85	3
86	4
87	4
88	2
89	3
90	4
91	4
92	2
93	3
94	1
95	3
96	3
97	3
98	2
99	2
101	3
102	2
103	4
105	2
106	4
107	5
108	5
109	5
110	1
111	4
112	3
113	1
114	1
115	4
116	5
117	4
118	5
119	4
120	3
121	3
122	3
123	3
124	2
125	3
126	4
127	4
128	2
129	2
130	4
131	3
132	2
133	3
134	2
135	4
136	3
137	4
138	4
139	3
140	3
141	2
142	4
143	4
144	1
145	3
146	1
154	1
158	1
160	1
161	1
162	1
163	1
164	1
165	1
166	5
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	2
176	1
177	1
178	5
179	2
181	1
182	1
183	1
184	1
185	1
186	2
187	2
188	1
189	2
190	1
191	1
192	1
193	1
194	1
195	5
196	3
197	3
198	1
199	1
200	1
201	2
202	1
203	1
204	1
205	1
206	2
207	2
208	3
209	2
210	2
212	2
214	2
215	2
216	3
217	2
218	2
219	3
220	2
221	1
222	2
223	1
224	3
225	2
227	1
229	3
231	1
232	2
233	1
234	1
235	2
236	2
237	4
239	1
241	1
242	1
244	1
245	1
246	1
247	1
248	1
249	2
250	1
253	3
267	1
268	2
269	2
271	2
272	2
273	3
275	2
276	2
278	2
280	3
281	2
282	3
283	2
284	3
285	4
286	1
287	3
288	3
289	2
290	2
291	3
292	3
293	3
294	3
295	4
296	1
297	4
298	3
299	3
300	3
301	2
302	3
303	3
304	3
306	5
307	3
308	3
309	3
310	5
311	1
312	1
313	2
314	1
316	1
317	3
319	3
320	3
321	2
322	4
323	3
324	1
325	1
327	3
328	4
329	3
330	1
331	3
332	2
333	3
334	3
335	3
336	3
337	3
338	2
339	1
340	4
341	3
342	3
343	2
344	4
345	3
346	3
347	5
348	4
349	4
350	2
352	2
353	3
354	3
355	3
356	2
357	3
358	2
359	3
361	2
362	2
363	3
364	3
365	4
366	3
367	3
368	4
369	3
370	2
371	3
372	3
373	3
374	2
375	3
376	5
378	2
379	3
380	3
383	3
385	2
386	1
387	2
388	3
389	3
390	4
391	3
393	3
395	2
397	1
398	1
399	1
400	2
401	1
402	1
403	2
405	2
406	2
407	1
408	2
409	2
410	2
411	2
412	1
413	3
414	2
415	2
416	1
417	4
418	2
419	2
420	2
421	2
423	3
424	2
425	3
426	3
427	3
430	3
431	1
432	3
433	3
434	3
435	3
436	3
437	4
438	3
439	2
440	2
441	2
442	3
443	2
444	2
445	3
446	4
447	1
448	4
449	3
450	2
451	2
452	3
453	1
454	2
455	2
456	4
457	3
459	2
460	4
461	3
462	3
463	3
464	2
465	1
466	2
467	1
468	1
469	1
470	1
471	3
472	3
474	1
475	4
476	2
478	2
479	2
481	2
482	2
483	3
484	3
485	2
487	2
488	2
489	1
490	2
491	3
492	3
494	2
495	2
496	2
498	3
499	2
500	2
501	2
502	1
503	3
504	1
505	1
507	1
508	3
509	2
510	3
511	2
512	2
513	2
514	2
515	1
516	2
517	1
518	2
520	2
521	1
522	4
523	2
524	3
525	2
527	3
528	3
529	3
530	3
531	3
532	1
533	4
534	3
535	3
536	1
537	3
538	3
539	4
540	3
541	4
542	5
543	3
544	2
545	2
546	1
547	1
548	1
549	2
550	3
551	1
552	1
553	1
554	1
555	2
556	3
557	1
558	2
559	2
560	2
561	1
565	1
566	1
567	3
568	3
569	4
570	3
571	2
572	2
573	1
574	1
575	1
576	2
577	1
578	2
579	2
580	2
581	2
582	1
583	2
584	1
585	1
586	1
587	1
588	1
589	1
590	1
591	1
592	1
593	1
594	1
595	1
596	1
597	3
598	3
599	3
600	2
601	1
