cluster_id	q
0	5
1	2
2	5
3	4
4	2
5	2
6	4
7	3
8	5
9	5
10	1
11	1
12	5
13	5
14	4
15	1
16	5
17	4
18	5
19	5
20	4
21	3
22	5
23	4
24	5
26	4
27	3
28	1
29	5
30	5
32	3
33	5
34	4
35	2
36	5
37	4
38	4
39	1
40	5
41	4
42	3
43	5
44	5
45	5
46	5
47	5
48	4
50	5
51	3
52	4
53	3
54	4
55	4
56	5
57	1
58	3
59	3
60	5
61	5
62	5
63	1
64	5
65	5
66	5
67	5
68	4
69	5
70	4
71	5
72	2
73	4
74	5
75	4
76	3
77	4
78	5
79	5
80	5
81	5
82	4
83	5
84	5
85	5
86	5
87	4
88	3
89	4
90	5
91	5
92	3
93	4
94	3
95	5
96	4
97	5
98	3
99	4
101	4
102	5
103	5
105	4
106	5
107	5
108	4
109	5
110	1
111	4
112	5
113	1
114	1
115	5
116	5
117	5
118	5
119	5
120	5
121	5
122	5
123	5
124	3
125	4
126	4
127	4
128	4
129	4
130	5
131	3
132	3
133	4
134	4
135	5
136	5
137	5
138	5
139	4
140	4
141	4
142	5
143	5
144	4
145	5
146	4
147	1
148	1
149	1
150	1
151	1
152	1
154	1
155	1
156	1
157	1
158	4
159	1
160	4
161	3
162	2
163	1
164	3
165	1
166	5
167	1
168	1
169	1
170	1
171	1
172	1
173	3
174	1
175	1
176	1
177	1
178	5
179	1
180	1
181	1
182	1
183	2
184	2
185	3
186	3
187	2
188	2
189	5
190	3
191	1
192	4
193	1
194	3
195	5
196	4
197	3
198	1
199	1
200	2
201	4
202	2
203	3
204	1
205	1
206	3
207	3
208	2
209	3
210	3
211	1
212	3
213	1
214	3
215	5
216	3
217	3
218	4
219	3
220	2
221	2
222	4
223	2
224	4
225	4
226	1
227	4
228	1
229	5
230	5
231	1
232	1
233	1
234	2
235	2
236	2
237	5
238	1
239	1
240	1
241	3
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	2
250	1
251	1
252	1
253	3
254	1
255	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	5
270	1
271	3
272	5
273	3
274	1
275	1
276	3
277	1
278	3
279	1
280	3
281	3
282	4
283	3
284	5
285	5
286	1
287	3
288	1
289	1
290	2
291	3
292	2
293	3
294	1
295	4
296	1
297	3
298	5
299	3
300	3
301	2
302	3
303	4
304	3
305	1
306	5
307	3
308	2
309	4
310	5
311	1
312	1
313	2
314	2
316	1
317	2
318	1
319	4
320	4
321	3
322	5
323	3
324	1
325	2
326	1
327	4
328	5
329	1
330	1
331	5
332	2
333	5
334	4
335	4
336	4
337	1
338	3
339	1
340	5
341	4
342	3
343	2
344	5
345	3
346	4
347	5
348	5
349	4
350	1
351	1
352	1
353	3
354	4
355	5
356	1
357	5
358	2
359	5
361	2
362	2
363	3
364	3
365	4
366	2
367	4
368	5
369	4
370	1
371	4
372	4
373	5
374	4
375	4
376	5
377	1
378	1
379	4
380	4
381	1
382	1
383	1
384	1
385	3
386	1
387	3
388	5
389	5
390	5
391	5
392	1
393	3
394	1
395	4
396	3
397	1
398	1
399	1
400	2
401	1
402	1
403	1
404	1
405	3
406	5
407	3
408	2
409	2
410	1
411	3
412	1
413	4
414	3
415	3
416	2
417	5
418	4
419	3
420	4
421	3
422	1
423	5
424	4
425	2
426	5
427	2
430	4
431	3
432	2
433	5
434	3
435	5
436	4
437	4
438	3
439	2
440	3
441	3
442	5
443	4
444	3
445	3
446	5
447	1
448	5
449	4
450	4
451	3
452	5
453	3
454	4
455	3
456	5
457	4
459	4
460	5
461	4
462	4
463	3
464	4
465	3
466	4
467	3
468	4
469	3
470	4
471	4
472	3
473	1
474	1
475	5
476	3
477	1
478	3
479	4
480	1
481	1
482	3
483	5
484	3
485	4
486	1
487	3
488	3
489	3
490	3
491	4
492	4
493	1
494	3
495	3
496	4
497	1
498	4
499	1
500	3
501	3
502	2
503	5
504	1
505	3
506	1
507	4
508	4
509	1
510	5
511	2
512	2
513	3
514	3
515	3
516	4
517	3
518	4
519	1
520	4
521	3
522	4
523	2
524	3
525	2
526	5
527	5
528	5
529	4
530	4
531	4
532	3
533	4
534	4
535	4
536	3
537	4
538	4
539	5
540	5
541	5
542	4
543	5
544	1
545	2
546	1
547	1
548	1
549	3
550	4
551	1
552	1
553	1
554	1
555	3
556	4
557	1
558	3
559	2
560	1
561	1
562	1
563	1
564	3
565	3
566	1
567	2
568	5
569	4
570	4
571	4
572	4
573	1
574	3
575	3
576	3
577	3
578	2
579	3
580	1
581	2
582	1
583	2
584	2
585	4
586	1
587	3
588	3
589	1
590	1
591	1
592	2
593	2
594	1
595	1
596	3
597	3
598	4
599	4
600	1
601	1
