cluster_id	q
0	5
1	2
2	5
3	5
4	4
5	4
6	4
7	5
8	5
9	5
10	2
11	1
12	5
13	5
14	4
15	1
16	4
17	5
18	5
19	5
20	5
21	3
22	5
23	5
24	5
26	5
27	3
28	1
29	5
30	5
32	2
33	5
34	4
35	2
36	5
37	4
38	2
39	3
40	5
41	4
42	2
43	5
44	5
45	5
46	5
47	4
48	4
50	5
51	4
52	5
53	4
54	4
55	4
56	5
57	1
58	4
59	4
60	5
61	5
62	4
63	1
64	5
65	5
66	5
67	5
68	5
69	5
70	4
71	5
72	5
73	4
74	5
75	5
76	4
77	4
78	5
79	5
80	5
81	5
82	5
83	5
84	5
85	5
86	5
87	5
88	2
89	5
90	5
91	5
92	4
93	5
94	2
95	5
96	5
97	5
98	3
99	5
101	5
102	4
103	5
105	4
106	5
107	5
108	5
109	5
110	1
111	4
112	5
113	1
114	2
115	5
116	5
117	5
118	5
119	5
120	5
121	4
122	5
123	5
124	3
125	5
126	5
127	4
128	4
129	4
130	5
131	4
132	4
133	5
134	4
135	5
136	5
137	5
138	5
139	5
140	4
141	4
142	5
143	5
144	4
145	4
146	5
158	5
160	5
161	4
162	5
163	1
164	4
165	2
166	5
167	4
168	1
169	5
170	4
172	2
173	4
174	2
175	2
176	1
177	1
178	5
179	1
181	1
182	1
183	4
184	2
185	2
186	5
188	3
189	4
190	2
191	1
192	4
193	2
194	4
195	5
196	5
197	5
198	1
199	1
200	5
201	5
202	2
203	3
204	1
205	1
206	5
207	5
208	4
209	4
210	4
211	3
212	4
214	5
215	5
216	5
217	3
218	3
219	5
220	2
221	4
222	3
223	3
224	5
225	3
227	4
228	1
229	2
230	5
231	1
232	1
233	1
234	3
235	2
236	1
237	4
241	2
242	1
244	1
245	1
246	1
247	2
248	1
249	1
250	1
253	5
267	1
268	1
269	4
271	1
272	4
273	4
276	4
278	3
280	4
281	3
282	5
283	4
284	5
285	5
286	1
287	5
288	5
289	1
290	1
291	5
292	1
293	5
294	5
295	5
296	1
297	5
298	5
299	4
300	4
301	1
302	3
304	1
306	5
307	4
308	4
309	5
310	5
311	1
312	1
313	1
314	1
316	1
317	4
319	4
320	3
321	2
322	5
323	1
324	1
325	5
327	5
328	5
329	4
330	1
331	5
332	1
333	5
334	5
335	5
336	3
337	5
338	1
339	1
340	5
341	5
342	5
343	1
344	5
345	4
346	5
347	5
348	4
349	4
350	1
352	1
353	4
354	4
355	5
356	1
357	5
358	1
359	5
361	1
362	3
363	3
364	4
365	5
366	2
367	5
368	5
369	4
370	1
371	5
372	3
373	5
374	4
375	5
376	5
378	1
379	4
380	5
383	4
385	4
386	1
387	3
388	5
389	5
390	5
391	5
393	4
395	4
397	1
398	1
399	1
400	1
401	1
402	1
403	1
405	3
406	5
407	5
408	4
409	1
410	1
411	1
412	1
413	4
414	3
415	5
416	1
417	5
418	4
419	4
420	4
421	4
423	5
424	4
425	4
426	5
427	3
430	1
431	4
432	4
433	5
434	1
435	5
436	5
437	5
438	4
439	3
440	3
441	3
442	5
443	4
444	3
445	4
446	5
447	1
448	5
449	4
450	4
451	4
452	5
453	1
454	1
455	3
456	5
457	4
459	2
460	5
461	4
462	4
463	1
464	4
465	3
466	4
467	3
468	4
469	1
470	4
471	4
472	4
474	1
475	5
476	3
478	3
479	4
481	1
482	3
483	5
484	3
485	4
487	4
488	5
489	1
490	4
491	4
494	4
495	4
496	4
498	3
499	3
500	5
501	4
502	3
503	5
504	1
505	4
507	1
508	4
509	3
510	5
511	3
512	3
513	4
514	4
515	1
516	1
517	5
518	3
520	4
521	1
522	5
523	3
524	5
525	3
527	5
528	5
529	4
530	5
531	4
532	1
533	5
534	4
535	4
536	1
537	4
538	5
539	5
540	5
541	5
542	5
543	5
544	4
545	1
546	1
547	2
548	1
549	2
550	5
551	1
552	1
553	1
554	1
555	4
556	5
557	1
558	1
559	3
560	1
561	1
565	3
566	1
567	4
568	5
569	4
570	4
571	5
572	3
573	1
574	1
575	1
576	3
577	3
578	3
579	3
580	1
581	1
582	1
583	1
584	1
585	1
586	1
587	3
588	1
589	1
590	1
591	1
592	1
593	1
594	1
595	1
596	1
597	5
598	5
599	4
600	1
601	1
